step,inner_iterations,linear_residual_ratio,converged,min_dtau,max_dtau
320,3,1.309699094e-07,1,9.088479131e-07,0.2853998143
321,3,1.349841521e-07,1,9.101447199e-07,0.2857151532
322,3,1.37104456e-07,1,9.110164562e-07,0.2860308405
323,3,1.369507418e-07,1,9.119162871e-07,0.2863468766
324,3,1.344183758e-07,1,9.12732953e-07,0.2866632619
325,3,1.30054792e-07,1,9.134837156e-07,0.2869799967
326,3,1.243659813e-07,1,9.142702039e-07,0.2872970815
327,3,1.18219135e-07,1,9.150955991e-07,0.2876145167
328,3,1.126773255e-07,1,9.159623649e-07,0.2879323026
329,3,1.078630183e-07,1,9.16872191e-07,0.2882504396
330,3,1.043277127e-07,1,9.178259644e-07,0.2885689281
331,3,1.02248596e-07,1,9.188238081e-07,0.2888877685
332,3,1.00989357e-07,1,9.198651952e-07,0.2892069613
333,3,1.008282309e-07,1,9.209490026e-07,0.2895265067
334,3,1.012310792e-07,1,9.220737184e-07,0.2898464051
335,3,1.023792884e-07,1,9.232386762e-07,0.290166657
336,3,1.039891257e-07,1,9.24447752e-07,0.2904872628
337,3,1.070443499e-07,1,9.25735186e-07,0.2908082228
338,3,1.118996886e-07,1,9.273164836e-07,0.2911295374
339,3,1.175418079e-07,1,9.287758193e-07,0.2914512071
340,3,1.23906945e-07,1,9.301775864e-07,0.2917732321
341,3,1.305687209e-07,1,9.312330854e-07,0.292095613
342,3,1.371419415e-07,1,9.323272888e-07,0.2924183501
343,3,1.430368951e-07,1,9.334605029e-07,0.2927414437
344,3,1.474378229e-07,1,9.346327141e-07,0.2930648944
345,3,1.498542e-07,1,9.358444032e-07,0.2933887024
346,3,1.500067097e-07,1,9.37096437e-07,0.2937128682
347,3,1.476274997e-07,1,9.383879843e-07,0.2940373922
348,3,1.434040893e-07,1,9.397180971e-07,0.2943622747
349,3,1.37898661e-07,1,9.410838028e-07,0.2946875162
350,3,1.31889808e-07,1,9.423192154e-07,0.2950131171
351,3,1.261195001e-07,1,9.432451475e-07,0.2953390777
352,3,1.211979823e-07,1,9.441961767e-07,0.2956653985
353,3,1.17260019e-07,1,9.450418384e-07,0.2959920798
354,3,1.148396427e-07,1,9.458599003e-07,0.2963191221
355,3,1.133914929e-07,1,9.467094491e-07,0.2966465257
356,3,1.126714844e-07,1,9.475944761e-07,0.2969742911
357,3,1.127662721e-07,1,9.485183679e-07,0.2973024186
358,3,1.134335535e-07,1,9.494837452e-07,0.2976309087
359,3,1.144538193e-07,1,9.504940035e-07,0.2979597618
360,3,1.163959357e-07,1,9.515502395e-07,0.2982889781
361,3,1.205364333e-07,1,9.526495165e-07,0.2986185583
362,3,1.255433402e-07,1,9.537714051e-07,0.2989485025
363,3,1.312265932e-07,1,9.54968189e-07,0.2992788114
364,3,1.373756443e-07,1,9.559150419e-07,0.2996094852
365,3,1.435708556e-07,1,9.568089093e-07,0.2999405243
366,3,1.493260049e-07,1,9.5778561e-07,0.3002719293
367,3,1.541097477e-07,1,9.58814818e-07,0.3006037004
368,3,1.572309368e-07,1,9.598798674e-07,0.300935838
369,3,1.583426649e-07,1,9.609785381e-07,0.3012683427
370,3,1.573875801e-07,1,9.621096711e-07,0.3016012147
371,3,1.544320053e-07,1,9.632760246e-07,0.3019344546
372,3,1.500026546e-07,1,9.644837389e-07,0.3022680626
373,3,1.447165264e-07,1,9.657236865e-07,0.3026020392
374,3,1.392557768e-07,1,9.669975934e-07,0.3029363848
375,3,1.343288835e-07,1,9.683069026e-07,0.3032710999
376,3,1.303020416e-07,1,9.696508367e-07,0.3036061848
377,3,1.273534989e-07,1,9.708847509e-07,0.3039416399
378,3,1.254260752e-07,1,9.718545963e-07,0.3042774657
379,3,1.242890371e-07,1,9.72842183e-07,0.3046136625
380,3,1.238097168e-07,1,9.737181853e-07,0.3049502308
381,3,1.240557031e-07,1,9.745906357e-07,0.305287171
382,3,1.245222491e-07,1,9.754866069e-07,0.3056244834
383,3,1.254237588e-07,1,9.764111097e-07,0.3059621685
384,3,1.271940585e-07,1,9.773681015e-07,0.3063002268
385,3,1.311013929e-07,1,9.783601531e-07,0.3066386586
386,3,1.35999741e-07,1,9.793890413e-07,0.3069774643
387,3,1.415357328e-07,1,9.804557401e-07,0.3073166443
388,3,1.473419379e-07,1,9.815606305e-07,0.3076561992
389,3,1.532166002e-07,1,9.827039457e-07,0.3079961292
390,3,1.585328317e-07,1,9.838849799e-07,0.3083364347
391,3,1.628800709e-07,1,9.85102448e-07,0.3086771163
392,3,1.658198643e-07,1,9.863541947e-07,0.3090181743
393,3,1.669048674e-07,1,9.876492775e-07,0.3093596092
394,3,1.660971648e-07,1,9.889962396e-07,0.3097014213
395,3,1.63617836e-07,1,9.905277472e-07,0.310043611
396,3,1.597197259e-07,1,9.920443275e-07,0.3103861789
397,3,1.550053631e-07,1,9.935587485e-07,0.3107291252
398,3,1.502669639e-07,1,9.950178819e-07,0.3110724505
399,3,1.459272828e-07,1,9.964483597e-07,0.3114161551
400,3,1.420883026e-07,1,9.97856161e-07,0.3117602395
401,3,1.393661981e-07,1,9.992502512e-07,0.3121047041
402,3,1.378359664e-07,1,1.000621598e-06,0.3124495492
403,3,1.369676066e-07,1,1.001905976e-06,0.3127947754
404,3,1.368010721e-07,1,1.003220311e-06,0.313140383
405,3,1.370108754e-07,1,1.004565088e-06,0.3134863725
406,3,1.377094217e-07,1,1.005662951e-06,0.3138327442
407,3,1.386790454e-07,1,1.006709344e-06,0.3141794987
408,3,1.399950565e-07,1,1.007685237e-06,0.3145266363
409,3,1.421690152e-07,1,1.008630697e-06,0.3148741575
410,3,1.464320716e-07,1,1.009591406e-06,0.3152220626
411,3,1.514589746e-07,1,1.010571247e-06,0.3155703521
