step,physical_time,inner_iterations,inner_residual_ratio,converged,initial_inner_residual,final_inner_residual
354,3.54,50,9.845075769e-05,1,0.0001102646695,1.085564026e-08
355,3.55,50,9.835608464e-05,1,0.000109812646,1.08007419e-08
356,3.56,50,9.826744378e-05,1,0.0001093666792,1.0747184e-08
357,3.57,50,9.818462769e-05,1,0.0001089268439,1.069494162e-08
358,3.58,50,9.810739638e-05,1,0.0001084931203,1.064397756e-08
359,3.59,50,9.803549831e-05,1,0.0001080654035,1.059424569e-08
360,3.6,50,9.796867995e-05,1,0.0001076435152,1.054569309e-08
361,3.61,50,9.79066799e-05,1,0.0001072272184,1.049826095e-08
362,3.62,50,9.784922239e-05,1,0.0001068162336,1.04518854e-08
363,3.63,50,9.779600371e-05,1,0.0001064102533,1.040649752e-08
364,3.64,50,9.774668143e-05,1,0.0001060089542,1.036202348e-08
365,3.65,50,9.770085578e-05,1,0.0001056120124,1.031838399e-08
366,3.66,50,9.765805341e-05,1,0.0001052191139,1.027549385e-08
367,3.67,50,9.761771292e-05,1,0.0001048299615,1.023326109e-08
368,3.68,50,9.757919443e-05,1,0.0001044442886,1.019158955e-08
369,3.69,50,9.754177427e-05,1,0.0001040618607,1.015037853e-08
370,3.7,50,9.750463679e-05,1,0.0001036824938,1.01095239e-08
371,3.71,50,9.74668982e-05,1,0.0001033060518,1.006892044e-08
372,3.72,50,9.742761785e-05,1,0.0001029324483,1.002846324e-08
373,3.73,50,9.738580976e-05,1,0.0001025616448,9.988048829e-09
374,3.74,50,9.734046369e-05,1,0.0001021936508,9.947577353e-09
375,3.75,50,9.72905597e-05,1,0.0001018285107,9.906952803e-09
376,3.76,50,9.723514397e-05,1,0.0001014662953,9.866089834e-09
377,3.77,50,9.717337119e-05,1,0.0001011070859,9.824916392e-09
378,3.78,50,9.710447808e-05,1,0.0001007509644,9.783369813e-09
379,3.79,50,9.702790359e-05,1,0.0001003979995,9.74140742e-09
